name,pantone,r,g,b,hex
1,skin-1,255,223,196,#FFDFC4
2,skin-2,240,213,190,#F0D5BE
3,skin-3,238,206,179,#EECEB3
4,skin-4,225,184,153,#E1B899
5,skin-5,229,194,152,#E5C298
6,skin-6,255,220,178,#FFDCB2
7,skin-7,229,184,143,#E5B887
8,skin-8,229,160,115,#E5A073
9,skin-9,231,158,109,#E79E6D
10,skin-10,219,144,101,#DB9065
11,skin-11,206,150,124,#CE967C
12,skin-12,198,120,86,#C67856
13,skin-13,186,108,73,#BA6C49
14,skin-14,165,114,87,#A57257
15,skin-15,240,200,201,#F0C8C9
16,skin-16,221,168,160,#DDA8A0
17,skin-17,185,124,109,#B97C6D
18,skin-18,168,117,108,#A8756C
19,skin-19,173,100,82,#AD6452
20,skin-20,92,56,54,#5C3836
21,skin-21,203,132,66,#CB8442
22,skin-22,189,114,60,#BD723C
23,skin-23,112,65,57,#704139
24,skin-24,163,134,106,#A3866A
25,skin-25,135,4,0,#870400
26,skin-26,113,1,1,#710101
27,skin-27,67,0,0,#430000
28,skin-28,91,0,1,#5B0001
29,skin-29,48,46,46,#302E2E
30,skin-30,0,0,0,#000000
